"108123","lucent1.02","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Lucent Public License Version 1.02\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/lucent1.02.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"lucent1.02\"}"
"108124","cc-nc","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Creative Commons Non-Commercial (Any)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://creativecommons.org/licenses/by-nc/2.0/\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"cc-nc\"}"
"108125","fair","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Fair License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/fair.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"fair\"}"
"108126","ms-rl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Microsoft Reciprocal License (Ms-RL)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/ms-rl.html\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"ms-rl\"}"
"108127","osl-3.0","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Open Software License 3.0 (OSL 3.0)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/osl-3.0.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"osl-3.0\"}"
"108128","gpl-3.0","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"GNU General Public License version 3.0 (GPLv3)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/gpl-3.0.html\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"gpl-3.0\"}"
"108129","ricohpl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Ricoh Source Code Public License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/ricohpl.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"ricohpl\"}"
"108130","odc-by","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Open Data Commons Attribution License\", \"domain_data\": true, \"is_okd_compliant\": true, \"domain_content\": false, \"url\": \"http://www.opendefinition.org/licenses/odc-by\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"odc-by\"}"
"108131","motosoto","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Motosoto License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/motosoto.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"motosoto\"}"
"108132","qtpl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Qt Public License (QPL)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/qtpl.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"qtpl\"}"
"108133","eclipse-1.0","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Eclipse Public License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/eclipse-1.0.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"eclipse-1.0\"}"
"108134","pythonpl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Python license\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/pythonpl.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"pythonpl\"}"
"108135","other-open","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Other (Open)\", \"domain_data\": false, \"is_okd_compliant\": true, \"is_generic\": true, \"url\": \"\", \"is_osi_compliant\": false, \"domain_content\": true, \"domain_software\": false, \"id\": \"other-open\"}"
"108136","dsl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Design Science License\", \"domain_data\": false, \"is_okd_compliant\": true, \"domain_content\": true, \"url\": \"http://www.opendefinition.org/licenses/dsl\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"dsl\"}"
"108137","ukpsi","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"UK PSI Public Sector Information\", \"domain_data\": false, \"is_okd_compliant\": true, \"domain_content\": true, \"url\": \"http://www.opendefinition.org/licenses/ukpsi\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"ukpsi\"}"
"108138","apache2.0","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Apache License, 2.0\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/apache2.0.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"apache2.0\"}"
"108139","uoi-ncsa","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"University of Illinois/NCSA Open Source License\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/UoI-NCSA.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"uoi-ncsa\"}"
"108140","oclc2","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"OCLC Research Public License 2.0\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/oclc2.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"oclc2\"}"
"108141","mozilla1.1","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Mozilla Public License 1.1 (MPL)\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"http://www.opensource.org/licenses/mozilla1.1.php\", \"is_osi_compliant\": true, \"domain_software\": true, \"id\": \"mozilla1.1\"}"
"108142","odc-pddl","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Open Data Commons Public Domain Dedication and Licence (PDDL)\", \"domain_data\": true, \"is_okd_compliant\": true, \"domain_content\": false, \"url\": \"http://www.opendefinition.org/licenses/odc-pddl\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"odc-pddl\"}"
"108143","canada-crown","{\"status\": \"active\", \"maintainer\": \"\", \"family\": \"\", \"title\": \"Canadian Crown Copyright\", \"domain_data\": false, \"is_okd_compliant\": false, \"domain_content\": false, \"url\": \"\", \"is_osi_compliant\": false, \"domain_software\": false, \"id\": \"canada-crown\"}"
